id;name;latitude;longitude;altitude;planperiode;project_context;programma_items;ambitie_items;partners_items;description_text
25;Aldi locatie;52.38625464025148;5.788959781761376;6.872156260786126;2018-2020;Nunspeet – nieuwbouw mixed-use woongebouw;woningbouw: ±30 huurwoningen | voorzieningen: 2.000m2 supermarkt | Energie&mobiliteit: gasloos;energie neutraal wijkconcept | supermarkt;Gemeente | Opdrachtgever Omnia Wonen;"🏙
 Nunspeet
 – nieuwbouw mixed-use woongebouw
📅
Planperiode
2018 – 2020
📐
Programma
- woningbouw: ±30 huurwoningen
- voorzieningen: 2.000m2 supermarkt
- Energie&mobiliteit: gasloos
🚀 Ambitie
- energie neutraal wijkconcept
- supermarkt
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw.
Opdrachtgever Omnia Wonen"
26;Plan Jukweg;52.43982114322723;5.857941774085957;2.696853290086365;2021-2024;Elburg – gebiedsontwikkeling uitleg in WvG gebied;woningbouw: ±125 woningen | (openbaar)gebied: ca. 6 hectare;energie netbewust wijkconcept | flex woningen | verwerving grond- opstalexploitatie;Gemeente, de Gilde Kampen | Opdrachtgever Bemog Projektontwikkeling;"🏙
 Elburg
 – gebiedsontwikkeling uitleg in WvG gebied
📅
Planperiode
2021 – 2024
📐
Programma
- woningbouw: ±125 woningen
- (openbaar)gebied: ca. 6 hectare
🚀 Ambitie
- energie netbewust wijkconcept
- flex woningen
- verwerving grond- opstalexploitatie
🤝
Partners & Stakeholders
Gemeente, de Gilde Kampen
Opdrachtgever Bemog Projektontwikkeling"
27;Plan Horstkamp;52.45148677645992;5.865597523584166;1.270625710177518;2020-2024;Elburg – uitbreiding woningbouw en gebiedsontwikkeling naar een toekomstbestendige woonomgeving.;woningbouw: ±225 woningen | (openbaar)gebied: ca. 9 hectare;Energie neutraal wijkconcept | Waterrobust en klimaatadaptief | Verwerving grond-opstalexploitatie;Gemeente Elburg, Zondag ontwikkeling | Opdrachtgever Bemog Projektontwikkeling;"🏙
 Elburg
– uitbreiding woningbouw en gebiedsontwikkeling naar een
toekomstbestendige woonomgeving.
📅
Planperiode
2020 – 2024
📐
Programma
- woningbouw: ±225 woningen
- (openbaar)gebied: ca. 9 hectare
🚀 Ambitie
- Energie neutraal wijkconcept
- Waterrobust en klimaatadaptief
- Verwerving grond-opstalexploitatie
🤝
Partners & Stakeholders
Gemeente Elburg, Zondag ontwikkeling
Opdrachtgever Bemog Projektontwikkeling"
28;Nigtevecht;52.24379605975315;5.040867130763957;0.3218809411292489;2020-2024;Vreeland – gebiedsontwikkeling aan de Vecht, recreatief gebiedsconcept;recreatief: 25 luxe bungalows;gronddeal doorverkocht;Gemeente, Boskalis | Opdrachtgever Bemog Projektontwikkeling;"🏙
 Vreeland
 – gebiedsontwikkeling aan de Vecht, recreatief gebiedsconcept
📅
Planperiode
2020 – 2024
📐
Programma
- recreatief: 25 luxe bungalows
🚀 Ambitie
- gronddeal doorverkocht
🤝
Partners & Stakeholders
Gemeente, Boskalis
Opdrachtgever Bemog Projektontwikkeling"
29;Zeeburgerpad;52.3670301131295;4.942196834169765;3.7545136529085;2022-2024;Amsterdam – strategisch gelegen transformatiegebied met potentie voor opstalontwikkeling.;Woningbouw: 70 appartementen en in de plint 700m2 bedrijfsruimte;Gebiedstransformatie;Gemeente, Tegeldepot vd Pol. | Opdrachtgever Bemog Projektontwikkeling.;"📍
Amsterdam
– strategisch gelegen transformatiegebied met potentie voor opstalontwikkeling.
📅
Planperiode
2022 – 2024
📐 I
ndicatief programma
🏡 ± 70 woningen
verwerving grondpositie
🚀
Ambitie
Een schaalbare ontwikkeling die aansluit bij lokale woonopgaven.
🤝
Partners & Stakeholders
Gemeente, Tegeldepot vd Pol.
Opdrachtgever Bemog Projektontwikkeling."
30;De Spoordriehoek;52.34106226193644;4.976165007466995;-1.031407033499865;;📍 Diemen – de Spoordriehoek strategisch gelegen uitbreidingsgebied met potentie voor grootschalige gebiedsontwikkeling.;In onderzoek;Status scouting;Van Drunen & Bemog Projektontwikkeling;"📍
Diemen
 – de Spoordriehoek strategisch gelegen uitbreidingsgebied met potentie voor grootschalige gebiedsontwikkeling.
📐 I
ndicatief programma
🏡 ± 600 woningen
🏢 ca. 10.000–15.000 m²
🌳 ruim openbaar groen, waterstructuur en ecologische zones
🔋 energie- en mobiliteitshub (slimme laadinfrastructuur, BESS-optie)
🚀
Ambitie
Een schaalbare gebiedsontwikkeling die aansluit bij regionale woonopgaven, netcongestie-oplossingen en duurzame economische groei.
📌
 Status
2020 - 2024
🤝
Partners & Stakeholders
Van Drunen & Bemog Projektontwikkeling"
31;Oldebroek west II;52.44042729044759;5.89593671580749;2.001022742717908;2022-2024;Oldebroek – Gebiedsontwikkeling gemeente-markt;woningbouw: 30 koopwoningen | verwerving grondpositie;;Gemeente | Opdrachtgever Bemog Projektontwikkeling.;"🏙
 Oldebroek
 – Gebiedsontwikkeling gemeente-markt
📅
Planperiode
2022 – 2024
📐
Programma
- woningbouw: 30 koopwoningen
- verwerving grondpositie
🤝
Partners & Stakeholders
Gemeente
Opdrachtgever Bemog Projektontwikkeling."
32;Hanzekwartier;52.5317354316436;5.716789229564638;-1.423110615067505;2022-2024;📍 Dronten – strategisch gelegen transformatiegebied met meerdere grondeigenaren.;In onderzoek;Status scouting;Gemeente, Bramer, vd Steeg, Knipscheer | Opdrachtgever Bemog Projektontwikkeling.;"📍
Dronten
– strategisch gelegen transformatiegebied met meerdere grondeigenaren.
📅
Planperiode
2022 – 2024
📐 I
ndicatief programma
🏡 ± 200 woningen
verwerving grondpositie in samenwerking met eigenaren
🚀
Ambitie
Een schaalbare ontwikkeling die aansluit bij lokale woonopgaven.
🤝
Partners & Stakeholders
Gemeente, Bramer, vd Steeg, Knipscheer
Opdrachtgever Bemog Projektontwikkeling."
33;Versterkingsprogramma CC2;53.33416764903804;6.740923831370054;-0.9168685964193057;;"Het ""versterkingsprogramma CC2/3"" verwijst naar het programma voor het aardbevingsbestendig maken van complexere gebouwen (zoals kantoorpanden, scholen, etc.) in Groningen, onder de paraplu van de Nationaal Coördinator Groningen (NCG) (NCG). Het programma omvatte het inventariseren en versterken van deze gebouwen door middel of andere technieken, met als doel ze veiliger te maken tegen de gevolgen van gaswinningsaardbevingen";Schoolgebouw;;;"Het ""versterkingsprogramma CC2/3"" verwijst naar het programma voor het aardbevingsbestendig maken van complexere gebouwen (zoals kantoorpanden, scholen, etc.) in Groningen, onder de paraplu van de Nationaal Coördinator Groningen (NCG) (NCG). Het programma omvatte het inventariseren en versterken van deze gebouwen door middel of andere technieken, met als doel ze veiliger te maken tegen de gevolgen van gaswinningsaardbevingen"
34;Versterkingsprogramma CC2;53.29969969815865;6.602127467290629;2.097377370627416;;"Het ""versterkingsprogramma CC2/3"" verwijst naar het programma voor het aardbevingsbestendig maken van complexere gebouwen (zoals kantoorpanden, scholen, etc.) in Groningen, onder de paraplu van de Nationaal Coördinator Groningen (NCG) (NCG). Het programma omvatte het inventariseren en versterken van deze gebouwen door middel of andere technieken, met als doel ze veiliger te maken tegen de gevolgen van gaswinningsaardbevingen";Schoolgebouw;;;"Het ""versterkingsprogramma CC2/3"" verwijst naar het programma voor het aardbevingsbestendig maken van complexere gebouwen (zoals kantoorpanden, scholen, etc.) in Groningen, onder de paraplu van de Nationaal Coördinator Groningen (NCG) (NCG). Het programma omvatte het inventariseren en versterken van deze gebouwen door middel of andere technieken, met als doel ze veiliger te maken tegen de gevolgen van gaswinningsaardbevingen"
35;Versterkingsprogramma CC2;53.30432804637132;6.600325356558607;4.291886294064753;;"Het ""versterkingsprogramma CC2/3"" verwijst naar het programma voor het aardbevingsbestendig maken van complexere gebouwen (zoals kantoorpanden, scholen, etc.) in Groningen, onder de paraplu van de Nationaal Coördinator Groningen (NCG) (NCG). Het programma omvatte het inventariseren en versterken van deze gebouwen door middel of andere technieken, met als doel ze veiliger te maken tegen de gevolgen van gaswinningsaardbevingen";Schoolgebouw;;;"Het ""versterkingsprogramma CC2/3"" verwijst naar het programma voor het aardbevingsbestendig maken van complexere gebouwen (zoals kantoorpanden, scholen, etc.) in Groningen, onder de paraplu van de Nationaal Coördinator Groningen (NCG) (NCG). Het programma omvatte het inventariseren en versterken van deze gebouwen door middel of andere technieken, met als doel ze veiliger te maken tegen de gevolgen van gaswinningsaardbevingen"
36;Versterkingsporgramma CC2;53.30153804755204;6.605302344308894;4.11187600589066;;"Het ""versterkingsprogramma CC2/3"" verwijst naar het programma voor het aardbevingsbestendig maken van complexere gebouwen (zoals kantoorpanden, scholen, etc.) in Groningen, onder de paraplu van de Nationaal Coördinator Groningen (NCG) (NCG). Het programma omvatte het inventariseren en versterken van deze gebouwen door middel of andere technieken, met als doel ze veiliger te maken tegen de gevolgen van gaswinningsaardbevingen";Schoolgebouw;;;"Het ""versterkingsprogramma CC2/3"" verwijst naar het programma voor het aardbevingsbestendig maken van complexere gebouwen (zoals kantoorpanden, scholen, etc.) in Groningen, onder de paraplu van de Nationaal Coördinator Groningen (NCG) (NCG). Het programma omvatte het inventariseren en versterken van deze gebouwen door middel of andere technieken, met als doel ze veiliger te maken tegen de gevolgen van gaswinningsaardbevingen"
37;Rietweg-Hamlaan;52.51553997550236;5.690697170802894;-0.2302068450817607;;📍 Dronten – uitbreidingsgebied met potentie voor grootschalige gebiedsontwikkeling.;In onderzoek;Een schaalbare gebiedsontwikkeling die aansluit bij regionale woonopgaven, netcongestie-oplossingen en Paris proof, gebiedsconcept Netgenoten;Gemeente, Metropool vastgoedontwikkeling & Lidl supermarkten | Opdrachtgever Circul8 development;"📍
Dronten
– uitbreidingsgebied met potentie voor grootschalige gebiedsontwikkeling.
📐 I
ndicatief programma
🏡 ± 300 woningen
🏢 ca. 2.000 m²
🌳 ecologische zones
🔋 energie- en mobiliteitshub
🚀
Ambitie
Een schaalbare gebiedsontwikkeling die aansluit bij regionale woonopgaven, netcongestie-oplossingen en Paris proof, op basis van het buurtschap concept.
📌
 Status
scouting
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw.
Opdrachtgever Circul8 development"
38;De Rede;52.52322056948027;5.719594347966519;-0.6288175577972788;;📍 Dronten –  potentie voor een binnenstedelijke herontwikkeling.;In onderzoek;Herstructurering;Gemeente | Opdrachtgever Circul8 development;"📍
Dronten
–  potentie voor een binnenstedelijke herontwikkeling.
📐 I
ndicatief programma
🏡 ± 50 woningen
🏢 ca. 1.000 m²
🌳 openbaar groen
🔋 energie- en mobiliteitshub
🚀
Ambitie
Een schaalbare ontwikkeling die aansluit bij lokale woonopgaven
📌
 Status
scouting
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw.
Opdrachtgever Circul8 development"
39;Haven Emmeloord;52.72607782710864;5.766471345796877;-0.4882299216217212;;📍 Emmeloord –  strategisch gelegen met potentie voor transformatie met gebiedsontwikkeling.;In onderzoek;Status scouting;Gemeente | Opdrachtgever Circul8 development;"📍
Emmeloord
–  strategisch gelegen met potentie voor transformatie met gebiedsontwikkeling.
📐 I
ndicatief programma
🏡 ± 50 woningen
🌳 openbaar en verkeer zones
🚀
Ambitie
Een schaalbare ontwikkeling die aansluit bij lokale opgaven.
📌
 Status
scouting
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw."
40;Chez Marknesse;52.70899575169119;5.877797877766849;-0.4888820745333944;;📍 Marknesse – transformatie van oude discotheek;In onderzoek;Revitalisering, transformatie;Gemeente | Opdrachtgever Circul8 development;acquisitie | ontwikkeling
41;Ossenkampweg;52.36207035430165;5.538146582478265;-3.957223894313173;;📍 Zeewolde – multimodale energyhub, voor toekomstige gebiedsontwikkeling;In onderzoek;Multimodale energyhub, BESS, waterstof, laaadinfra, smart grid, GDS, smartgrid, DC-grid;Gemeente, netbeheerders | Opdrachtgever Circul8 development;"📍
Zeewolde
– uitbreidingsgebied met potentie voor grootschalige gebiedsontwikkeling.
📐 I
ndicatief programma
🏡 ± 1.000 woningen
🏢 ca. 10.000–15.000 m²
🌳 ruim openbaar groen, waterstructuur en ecologische zones
🔋 energie- en mobiliteitshub (slimme laadinfrastructuur, BESS-optie)
🚀
Ambitie
Een schaalbare gebiedsontwikkeling die aansluit bij regionale woonopgaven, netcongestie-oplossingen en duurzame economische groei.
📌
 Status
scouting
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw.
Opdrachtgever Circul8 development"
42;Zandlaan;52.34127323848439;5.649160490813816;3.480458160237865;;📍 Harderwijk –  Zandlaan strategisch gelegen transformatiegebied met potentie voor energyhub.;In onderzoek;Energyhub: Een schaalbare ontwikkeling die aansluit bij lokale woon en energie opgaven. Waterstof, BESS;Gemeente, netbeheerders | Opdrachtgever Circul8 development;"📍
Harderwijk
–  Zandlaan strategisch gelegen transformatiegebied met potentie voor energyhub.
📐 I
ndicatief programma
🌳 openbaar en verkeer zones
🔋 energie- en mobiliteitshub
🚀
Ambitie
Een schaalbare ontwikkeling die aansluit bij lokale energieopgaven.
📌
 Status
scouting
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw."
43;Paasloweg;52.34587678756203;5.671075782790764;4.702662925713453;;📍 Harderwijk – Paasloweg strategisch gelegen transformatiegebied met potentie;In onderzoek;Erfdelen, erftransformatie;Gemeente | Opdrachtgever Circul8 development;"📍
Harderwijk
– Paasloweg strategisch gelegen transformatiegebied met potentie voor grootschalige gebiedsontwikkeling.
📐 I
ndicatief programma
🏡 ± 100 woningen
🌳 openbaar en verkeer zones
🚀
Ambitie
Een schaalbare ontwikkeling die aansluit bij lokale woon en energie opgaven.
📌
 Status
scouting
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw."
44;Biosciencecenter;52.52653058442389;5.563940277540662;-3.822678255398844;;📍 Lelystad – transformatie en herontwikkeling;In Onderzoek;Circulair en off-grid;Gemeente | Opdrachtgever Circul8 development;"📍
Lelystad
– transformatie en herontwikkeling
📐 I
ndicatief programma
 🏢 ca. 10.000 m²
🌳 ecologische zones
🔋 energie- en mobiliteitshub
🚀
Ambitie
Circulair en off-grid
📌
 Status
scouting
🤝
Partners & Stakeholders
Gemeente, Wageningen University & research, ontwerp
en stedenbouw.
Opdrachtgever Circul8 development"
45;Hollandsche Rading;52.16873788901349;5.172281315384057;2.649790625702775;;📍 De Bilt – strategisch gelegen transformatiegebied met potentie voor netbewuste gebiedsontwikkeling;In onderzoek;Status scouting;Gemeente | Opdrachtgever Circul8 development;"📍
De Bilt
– strategisch gelegen transformatiegebied met potentie voor netbewuste gebiedsontwikkeling.
📐
Indicatief programma
🏡 ± 70 woningen
🌳 openbaar en verkeer zones
🔋 energie- en mobiliteitshub
🚀
Ambitie
Een schaalbare ontwikkeling die aansluit bij lokale woonopgaven.
📌
 Status
scouting
🤝
Partners & Stakeholders
Gemeente, marktpartijen, ontwerp
en stedenbouw."
46;Zuiderzeestraatweg;52.44090329611763;5.833839986870983;1.169252232290239;2024-2030;📍 Elburg – uitbreiding en gebiedsontwikkeling naar een toekomstbestendig buurtschap;In onderzoek;Paris proofconcept | Circulaire materialen | Waterrobust en klimaatadaptief | gebiedsconcept Netgenoten;Gemeente, Metropool vastgoedontwikkeling & Lidl supermarkten | Opdrachtgever Circul8 development;"🏙
 Elburg
 – uitbreiding en gebiedsontwikkeling naar een
toekomstbestendig buurtschap
📅
Planperiode
2024 – 2030
📐
Programma
- woningbouw: ±80 woningen
- voorzieningen: ca. 2.500m²
- (openbaar)gebied: ca. 5 hectare
- Energie&mobiliteit: laadplein, BESS
🚀 Ambitie
- Paris proofconcept
- Circulaire materialen
- Waterrobust en klimaatadaptief
- Buurtschap 2.0 principes
🤝
Partners & Stakeholders
Gemeente Elburg, marktpartijen, energiepartners, ontwerp
en stedenbouw.
Opdrachtgever Metropool - Lidl"
47;Cornelius Douwesterrein;52.41083473301984;4.874294876497696;0.5160259476568463;;📍 Amsterdam –  Toetsenbordweg strategisch gelegen transformatiegebied met potentie voor energyhub.;In onderzoek;Status scouting;Gemeente | Opdrachtgever Circul8 development;"📍
Amsterdam
–  Toetsenbordweg strategisch gelegen transformatiegebied met potentie voor energyhub.
📌
 Status
scouting"
48;Bergen;52.65841503894613;4.715392549780115;2.353176377272854;2026-2030;📍 Bergen – uitbreiding en gebiedsontwikkeling naar een toekomstbestendig buurtschap;In onderzoek;Paris proofconcept | Circulaire materialen | Waterrobust en klimaatadaptief | gebiedsconcept Netgenoten;Gemeente, Metropool vastgoedontwikkeling & Lidl supermarkten | Opdrachtgever Circul8 development;"🏙
 Elburg
 – uitbreiding en gebiedsontwikkeling naar een
toekomstbestendig buurtschap
📅
Planperiode
2026 – 2030
📐
Programma
- woningbouw: ±80 woningen
- voorzieningen: ca. 2.500m²
- (openbaar)gebied: ca. 5 hectare
- Energie&mobiliteit: laadplein, BESS
🚀 Ambitie
- Paris proofconcept
- Circulaire materialen
- Waterrobust en klimaatadaptief
- Buurtschap 2.0 principes
🤝
Partners & Stakeholders
Gemeente, marktpartijen, energiepartners, ontwerp
en stedenbouw.
Opdrachtgever Metropool - Lidl"
49;Hoorn;52.65215474948947;5.02781451303364;1.010983601789799;;📍 Hoorn –  Op de gemeente grens Koggenland - Hoorn strategisch gelegen transformatiegebied met potentie om vanuit mobiliteits-energyhub door te groeien naar gebiedsontwikkeling. 📌 Status scouting;Energyhub & toekomstige gebiedsontwikkeling;Status scouting;;;"📍
Hoorn
–  Op de gemeente grens Koggenland - Hoorn strategisch gelegen transformatiegebied met potentie om vanuit mobiliteits-energyhub door te groeien naar gebiedsontwikkeling.
📌
 Status
scouting"
50;Schagen;52.79039808600129;4.778127851560365;0.9636450088214477;;📍 Schagen –  Herontwikkeling in onderzoek;In onderzoek;Status scouting;;;"📍
Schagen
–  Herontwikkeling in onderzoek
📌
 Status
scouting"
51;Burgerbrug;52.74659102740613;4.702468957930177;-0.613111921910019;;📍 Burgerbrug –  In verkenning;Woningbouwontwikkeling;Status scouting;;;"📍
Burgerbrug
–  In verkenning
📌
 Status
scouting"
